ip,ipStartLong,ipEndLong,country,region,city,latitude,longitude
172.56.64.0/21,2889367552,2889369599,US,US-GA,Atlanta,33.7489924,-84.3902644
172.58.8.0/21,2889484288,2889486335,US,US-CO,Denver,39.7392364,-104.9848623
172.56.192.0/21,2889400320,2889402367,US,US-MA,Boston,42.3602534,-71.0582912
172.56.160.0/21,2889392128,2889394175,US,US-NY,New York,40.7127281,-74.0060152
172.58.144.0/21,2889519104,2889521151,US,US-TN,Nashville,36.1622767,-86.7742984
172.56.72.0/21,2889369600,2889371647,US,US-FL,Orlando,28.5421109,-81.3790304
172.56.216.0/21,2889406464,2889408511,US,US-PA,Philadelphia,39.9527237,-75.1635262
172.56.80.0/21,2889371648,2889373695,US,US-AZ,Phoenix,33.4484367,-112.0741417
172.56.200.0/21,2889402368,2889404415,US,US-WA,Seattle,47.6038321,-122.3300624
172.56.88.0/21,2889373696,2889375743,US,US-TX,Austin,30.2711286,-97.7436995
172.58.240.0/21,2889543680,2889545727,US,US-MD,Baltimore,39.2908816,-76.610759
172.56.104.0/21,2889377792,2889379839,US,US-WA,Seattle,47.6038321,-122.3300624
172.56.152.0/21,2889390080,2889392127,US,US-OR,Portland,45.5202471,-122.6741949
172.58.56.0/23,2889496576,2889497087,US,US-CO,Denver,39.7392364,-104.9848623
172.58.58.0/24,2889497088,2889497343,US,US-CO,Denver,39.7392364,-104.9848623
172.58.59.0/24,2889497344,2889497599,US,US-CO,Denver,39.7392364,-104.9848623
172.58.60.0/24,2889497600,2889497855,US,US-CO,Denver,39.7392364,-104.9848623
172.58.61.0/24,2889497856,2889498111,US,US-CO,Denver,39.7392364,-104.9848623
172.58.62.0/25,2889498112,2889498239,US,US-CO,Denver,39.7392364,-104.9848623
172.58.62.128/25,2889498240,2889498367,US,US-CO,Denver,39.7392364,-104.9848623
172.58.63.0/25,2889498368,2889498495,US,US-CO,Denver,39.7392364,-104.9848623
172.58.63.128/25,2889498496,2889498623,US,US-CO,Denver,39.7392364,-104.9848623
172.56.2.0/23,2889351680,2889352191,US,US-MD,Baltimore,39.2908816,-76.610759
172.58.184.0/23,2889529344,2889529855,US,US-MD,Baltimore,39.2908816,-76.610759
172.58.186.0/24,2889529856,2889530111,US,US-MD,Baltimore,39.2908816,-76.610759
172.58.187.0/24,2889530112,2889530367,US,US-MD,Baltimore,39.2908816,-76.610759
172.58.188.0/24,2889530368,2889530623,US,US-MD,Baltimore,39.2908816,-76.610759
172.58.189.0/24,2889530624,2889530879,US,US-MD,Baltimore,39.2908816,-76.610759
